Entiteit,Gemeente,Deelgemeente,Titel,Station?,Ligging,XY Halte Hastus,GPS (locatie),Fietsbeugels (aantal),Overdekte fietsenstalling
Limburg,LOMMEL,GROTE BARRIER,405815 Grote-Barrier Grote-Barrier,,Fabrieksstraat,"51.235905,5.377076","4;51.2358632,5.3770847",Meer dan 5,Ja
Limburg,LOMMEL,LOMMEL,405791 Lommel Donkerstraat,,Klachtloopstraat,"51.231362,5.302397","4;51.2314818,5.3025548",Meer dan 5,Ja
Limburg,LOMMEL,LOMMEL-WERKPLAATSEN,405794 Werkplaatsen Dorperheide,,N712,"51.229352,5.265646","9;51.2293851,5.2659739",Meer dan 5,Ja
Limburg,LOMMEL,LUTLOMMEL,405800 Lutlommel Enneven,,Lutlommel,"51.231684,5.340846","4;51.2316388,5.3408381",Meer dan 5,Ja
Limburg,LOMMEL,LUTLOMMEL,405850 Lutlommel Lutlommel,,Lutlommel,"51.232057,5.334361","4;51.2320147,5.3344512",Meer dan 5,Ja
Limburg,LOMMEL,LUTLOMMEL,405853 Lutlommel School,,Lutlommel,"51.232402,5.350792","4;51.232503,5.3506957",Meer dan 5,Ja
Vlaams-Brabant,LONDERZEEL,LONDERZEEL,303387 Londerzeel Rustoord,,Kerkhofstraat,"51.002578,4.306276","4;51.0025556,4.3062758",Meer dan 5,Ja
Vlaams-Brabant,LONDERZEEL,MALDEREN,308799 Malderen Dorp,,Jozef vermaesenplein,"51.020421,4.243574","3;50.9081829,4.4143957",Meer dan 5,Ja
Oost-Vlaanderen,LOVENDEGEM,LOVENDEGEM,201691 Lovendegem Appensvoorde,,Appensvoordestraat,"51.098295,3.638281","10;51.0984644,3.6384026",Meer dan 5,Ja
Oost-Vlaanderen,LOVENDEGEM,LOVENDEGEM,202369 Lovendegem Triestlaan,,Molendreef,"51.098315,3.610302","10;51.0984062,3.6103131",Meer dan 5,Ja
Limburg,MAASMECHELEN,MAASMECHELEN,410131 Maasmechelen Carpoolparking,,N78,"50.954273,5.69426","10;50.9543515,5.6942172",Meer dan 5,Ja
Vlaams-Brabant,MACHELEN (VLAAMS-BRABANT),DIEGEM,304129 Machelen Korenberg,,Unknown,"50.896329,4.455644","4;50.8964158,4.4553782",Meer dan 5,Ja
Vlaams-Brabant,MACHELEN (VLAAMS-BRABANT),DIEGEM,308791 Diegem Woluwelaan,,Woluwelaan,"50.895913,4.434966","4;50.8960876,4.4349991",Meer dan 5,Ja
Vlaams-Brabant,MACHELEN (VLAAMS-BRABANT),MACHELEN (VLAAMS-BRABANT),303590 Machelen Heirbaan,,Luchthavenlaan,"50.918165,4.448327","5;50.91811454,4.44832464",Meer dan 5,Ja
Vlaams-Brabant,MACHELEN (VLAAMS-BRABANT),MACHELEN (VLAAMS-BRABANT),303828 Machelen Cargo Discount P1,,Vliegveld,"50.906224,4.460645","3;50.9063499,4.4606763",Meer dan 5,Ja
