"FID","Shape *","OBJECTID_1","id","ID_FIETS","X","Y","OBJECTID","tblalgemen","IDfietsens","MCSCode","MCSCodefie","MCSCodef_1","tblintermo","Positie","Betalend","Toegangsco","Afgesloten","Typevanafs","Eigenaarte","Eigenaarde","Kleinewege","Exploitant","Exploita_1","Infrastruc","specandere","Infrastr_1","specande_1","Infrastr_2","Infrastr_3","specande_2","Infrastr_4","Infrastr_5","specande_3","Bevestigin","Aantalplaa","Infrastr_6","Plaatsenfi","Plaatsen_1","Plaatsenba","Plaatsen_2","Plaatsenbr","Plaatsen_3","Plaatsenel","Plaatsen_4","Plaatsen_5","Plaatsen_6","Plaatsento","Plaatsen_7","Plaatsen_8","Camerabewa","voldoendev","beheerderv","weesfietse","opmerking","schattinga","Mogelijkhe","OpterreinN","Opterreind","Isernoodto","AantalInga","AantalUitg","Energiemet","Milieugeva","Branddetec","Anderetech","Aankondigi","Aankondi_1","Aankondi_2","Parkeerreg","Bordmettar","Signaletic","Signalet_1","Signalet_2","X_WGS84","Y_WGS84"
"91","Point","570","38","38","69612,648 m","210248,021 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 2,877"" E","51° 11' 49,706"" N"
"92","Point","571","38","38","69615,967 m","210242,213 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 3,052"" E","51° 11' 49,520"" N"
"93","Point","572","38","38","69617,626 m","210239,170 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 3,140"" E","51° 11' 49,422"" N"
"94","Point","573","204","204","49174,659 m","214201,969 m","0","Oostende","204","30503114946","30503114937","sono : lus A:5 , lus B:4","Fietsenstalling f1","Ondergrondse fietsparking","0","0","-1"," ","Stad/Gemeente"," ","Nee","B-Parking (NMBS)"," ","Fietsgebouw","ondergronds","Ondergronds"," ","0","Beton"," "," ","type NMBS","en etagerekken","1","20","Goede staat","1810","0","15","0","40","40","0","0","0","0","1905","1825","80","-1","1","Eigen net","0","Aankoop terrein nog lopende. \n\nIn de rekken type NMBS zijn er 1138 plaatsen. \nIn de etagerekken zijn er 672 plaatsen. \nBrom- en XL-fietszone is niet per plaats gemarkeerd. \n\nBromfiets en XL-zone nog in te richten","0"," ","0","0","0","1","0","0","0","0","0","-1","0","0","-1","0","0","-1"," ","2° 55' 26,568"" E","51° 13' 46,077"" N"
"95","Point","622","669","0","119582,388 m","126872,700 m","49","Mons","669","50960060012","0"," ","Emplacement vélos f1","Parking vélos P3(Gendebien)","0","0","0"," ","SNCB"," "," ","SNCB"," ","Parking exterieur"," "," "," ","0","Gravier"," "," ","Support cycle"," ","1","16","Intervenir","0","45","0","0","0","0","0","0","0","0","45","45","0","0","-1","Propre roseau","0"," ","0"," ","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","3° 56' 21,059"" E","50° 27' 8,880"" N"
"96","Point","623","1031","0","119850,675 m","127309,296 m","50","Mons","1031","50960060012","0"," ","Emplacement vélos f2","Parking vélos P4(Charles-Quint)","0","0","0"," ","SNCB"," "," ","SNCB"," ","Places couvertes"," ","Propre toit"," ","0"," "," "," ","Type SNCB"," ","1","16"," ","82","0","0","0","0","0","0","0","0","0","82","82","0","0","-1","Propre roseau","0"," ","0"," ","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","3° 56' 34,532"" E","50° 27' 23,060"" N"
"97","Point","624","1047","0","119852,536 m","127288,749 m","51","Mons","1047","50960060012","0"," ","Emplacement vélos f5","Parking vélos pro vélo","1","1","0"," ","SNCB"," ","Oui","Pro vélo"," ","Places couvertes"," ","Propre toit"," ","0","Asphalte"," "," ","Type SNCB"," ","1","16","Très bon","22","0","0","0","0","0","0","0","0","0","22","22","0","-1","-1","Propre roseau","0"," ","0"," ","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","3° 56' 34,633"" E","50° 27' 22,395"" N"
"98","Point","625","1045","0","119764,762 m","127429,339 m","52","Mons","1045","50960060012","0"," ","Emplacement vélos f4","Parking vélos c``t Micx","0","0","0"," ","SNCB"," "," ","SNCB"," ","Parking exterieur"," "," "," ","0","Asphalte"," "," ","Type SNCB"," ","1","16","Bon","0","10","0","0","0","0","0","0","0","0","10","10","0","0","0"," ","0"," ","0"," ","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","3° 56' 30,142"" E","50° 27' 26,929"" N"
"99","Point","626","1040","0","119967,339 m","127419,548 m","53","Mons","1040","50960060012","0"," ","Emplacement vélos f3","Parking motos P4","0","0","0"," ","SNCB"," "," ","SNCB"," ","Places couvertes"," ","Propre toit"," ","0"," "," "," "," "," ","1","16","Bon","0","0","0","0","16","0","0","0","0","0","16","0","16","0","0"," ","0"," ","0"," ","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","3° 56' 40,415"" E","50° 27' 26,650"" N"
"100","Point","672","610","0","155047,635 m","121530,626 m","99","Charleroi-sud","610","51240056002","0"," ","Emplacement vélos f1","Abri vélos sécurisé quai 1","0","0","1","abri","SNCB"," "," ","SNCB"," ","Dans Bâtiment"," ","Dans un Bâtiment"," ","0","Klinkers"," "," ","Type SNCB"," ","1","20","Très bon","40","0","0","0","20","0","0","0","0","0","60","40","20","0","-1"," ","0"," ","0"," ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","4° 26' 18,564"" E","50° 24' 18,749"" N"
"101","Point","707","609","0","154791,386 m","122129,567 m","134","Charleroi-ouest","609","51400064101","0"," ","Emplacement vélos f1"," ","0","0","0","Néant"," "," "," "," "," "," "," "," "," ","0"," "," "," "," "," ","0","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0"," ","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","4° 26' 5,615"" E","50° 24' 38,141"" N"
"102","Point","708","794","0","148565,531 m","170109,405 m","135","Bru.-Chap./Kap.","794","10010001002","0"," ","Fietsenstalling f2","Walenplein (naast ingang station)","0","0","0"," ","Stad/Gemeente"," "," ","Stad/Gemeente"," ","Overdekt (luifel)"," ","Stationsgebouw"," ","0","Betonstraatstenen"," "," ","Wielklemmen + hoge stang"," ","0","0","Goede staat","9","0","0","0","0","0","0","0","0","0","9","9","0","0","0"," ","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4° 20' 49,635"" E","50° 50' 30,976"" N"
"103","Point","709","795","0","148625,280 m","170048,167 m","136","Bru.-Chap./Kap.","795","10010001002","0"," ","Fietsenstalling f3","Brigittinestraat (Voor kerk)","0","0","0"," ","Stad/Gemeente"," "," ","Stad/Gemeente"," ","Openlucht"," ","Nee"," ","0","Andere","Platines"," ","Andere","Metalen Beugels","0","0","Te controleren","0","8","0","0","0","0","0","0","0","0","8","8","0","0","-1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4° 20' 52,690"" E","50° 50' 28,995"" N"
"104","Point","710","796","0","148394,228 m","170074,979 m","137","Bru.-Chap./Kap.","796","10010001002","0"," ","Fietsenstalling f4","Rogier Van Der Weydenstraat","0","0","0"," ","Stad/Gemeente"," "," ","Stad/Gemeente"," ","Openlucht"," ","Nee"," ","0","Andere","Platines"," ","Andere","Metalen Beugels","0","0","Goede staat","0","8","0","0","0","0","0","0","0","0","8","8","0","0","-1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4° 20' 40,880"" E","50° 50' 29,861"" N"
"105","Point","711","296","0","149087,549 m","170495,705 m","138","Bru.-Cent.","296","10010002005","0"," ","Madeleine f1","Madeleine","-1","-1","0"," ","NMBS"," ","Oui","Derde","Fietspunt","Lokaal in gebouw"," ","Stationsgebouw"," ","0","Beton"," "," ","Type SNCB"," ","0","0","Bon état","196","0","0","0","0","0","0","0","0","0","196","196","0","-1","-1","Eigen net","0","182+14 Bluebikes","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","4° 21' 16,312"" E","50° 50' 43,481"" N"
