"FID","Shape *","OBJECTID_1","id","ID_FIETS","X","Y","OBJECTID","tblalgemen","IDfietsens","MCSCode","MCSCodefie","MCSCodef_1","tblintermo","Positie","Betalend","Toegangsco","Afgesloten","Typevanafs","Eigenaarte","Eigenaarde","Kleinewege","Exploitant","Exploita_1","Infrastruc","specandere","Infrastr_1","specande_1","Infrastr_2","Infrastr_3","specande_2","Infrastr_4","Infrastr_5","specande_3","Bevestigin","Aantalplaa","Infrastr_6","Plaatsenfi","Plaatsen_1","Plaatsenba","Plaatsen_2","Plaatsenbr","Plaatsen_3","Plaatsenel","Plaatsen_4","Plaatsen_5","Plaatsen_6","Plaatsento","Plaatsen_7","Plaatsen_8","Camerabewa","voldoendev","beheerderv","weesfietse","opmerking","schattinga","Mogelijkhe","OpterreinN","Opterreind","Isernoodto","AantalInga","AantalUitg","Energiemet","Milieugeva","Branddetec","Anderetech","Aankondigi","Aankondi_1","Aankondi_2","Parkeerreg","Bordmettar","Signaletic","Signalet_1","Signalet_2","X_WGS84","Y_WGS84"
"0","Point","1","1","1","126780,158 m","181465,154 m","0","Aalst","1","30500030235","0"," ","Fietsenstalling f1","fietsgebouw voorkant","0","0","1","overdekt, staalstructuur","NMBS"," ","Nee"," "," ","Fietsgebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","type NMBS"," ","1","40","Goede staat","869","0","0","0","32","0","0","0","0","0","901","869","32","0","1","Stadsnet","1","fietsenstalling is gekoppeld op paal 1206 van Eandis","0"," ","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0"," ","4° 2' 13,602"" E","50° 56' 36,793"" N"
"1","Point","2","1","1","126758,069 m","181482,258 m","0","Aalst","1","30500030235","0"," ","Fietsenstalling f1","fietsgebouw voorkant","0","0","1","overdekt, staalstructuur","NMBS"," ","Nee"," "," ","Fietsgebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","type NMBS"," ","1","40","Goede staat","869","0","0","0","32","0","0","0","0","0","901","869","32","0","1","Stadsnet","1","fietsenstalling is gekoppeld op paal 1206 van Eandis","0"," ","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0"," ","4° 2' 12,466"" E","50° 56' 37,344"" N"
"2","Point","33","37","37","69420,371 m","210251,543 m","0","Brugge","37","30503093055","0"," ","Fietsenstalling f1","ondergronds KAM-gebouw","0","0","0"," ","Derde","NMBS / Belins","NVT"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","1621","0","0","0","32","0","0","0","0","0","1653","1621","32","0","-1","Eigen net","0","vuinisbak Engels selectief 2X + strooizout","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 12' 52,973"" E","51° 11' 49,723"" N"
"3","Point","85","88","88","107074,000 m","192196,343 m","0","Gentbrugge","88","30580004203","0"," ","Fietsenstalling f1","Aan ingang station onder spoorviaduct","0","0","0","NVT","NMBS"," ","Nee"," "," ","Overdekt (luifel)"," ","Onder viaduct"," ","0","Andere","Betonstraatstenen/asfalt"," ","Andere","166 NMBS/20 type stad","0","0","Te controleren","186","0","0","0","0","0","0","0","0","0","186","186","0","0","1","Eigen net","-1"," ","11"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 45' 19,732"" E","51° 2' 20,001"" N"
"4","Point","86","89","89","105930,367 m","194136,224 m","0","Gent-Dampoort","89","30580006617","0"," ","Fietsenstalling f1","op parking P1","0","0","0","NVT","NMBS"," ","Nee"," "," ","Open lucht"," "," "," ","0","Steenslag","Asfalt"," ","type NMBS"," ","0","0","Goede staat","0","1745","0","0","0","15","0","0","0","0","1760","1745","15","0","1","Eigen net","0","168 fietsen oktober 2017 van FGSP","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"," ","3° 44' 20,194"" E","51° 3' 22,463"" N"
"5","Point","87","90","90","105954,412 m","194100,325 m","0","Gent-Dampoort","90","30580006617","0"," ","Fietsenstalling f2","op parking P1","1","1","1","hekken","NMBS"," ","NVT"," "," ","Open lucht"," "," "," ","0","Andere","betonstraatstenen/steenslag"," ","type NMBS"," ","0","0","Goede staat","0","230","0","0","0","0","0","0","0","0","230","230","0","0","0"," ","0"," ","0"," ","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 44' 21,444"" E","51° 3' 21,307"" N"
"6","Point","88","91","91","105935,278 m","194246,460 m","0","Gent-Dampoort","91","30580006617","0"," ","Fietsenstalling f3","op pleintje voor station","0","0","0","NVT","NMBS"," ","Ja"," "," ","Open lucht"," "," "," ","0","Andere","Betonstraatstenen/asfalt"," ","Andere","Beugels","0","0","Goede staat","0","195","0","0","0","0","0","0","0","0","195","195","0","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 44' 20,398"" E","51° 3' 26,031"" N"
"7","Point","89","92","92","105946,962 m","194227,833 m","0","Gent-Dampoort","92","30580006617","0"," ","Fietsenstalling f4","tegen muur perronsporen","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Volle platen"," ","0","Betonstraatstenen"," "," ","Dubbel verdiep"," ","0","0","Goede staat","42","0","0","0","0","0","0","0","0","0","42","42","0","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 44' 21,006"" E","51° 3' 25,431"" N"
"8","Point","128","145","145","72131,501 m","168679,548 m","0","Kortrijk","145","30750041834","0"," ","Fietsenstalling f10","Bloemistenstraat","0","0","0","NVT","Stad/Gemeente"," ","Nee"," "," ","Openlucht"," "," "," ","0","Betonstraatstenen"," "," ","Andere","type stad","0","0","Goede staat","0","80","0","0","0","0","0","0","0","0","80","80","0","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 15' 44,443"" E","50° 49' 25,957"" N"
"9","Point","129","146","146","72190,214 m","168845,855 m","0","Kortrijk","146","30750041834","0"," ","Fietsenstalling f11","stationsplein","0","0","0","NVT","Stad/Gemeente"," ","Nee"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Asfalt"," "," ","Andere","type NMBS oud/type stad","0","0","Goede staat","714","55","0","0","0","0","0","0","0","0","769","769","0","0","-1","Stadsnet","0","Grond Stad, maar NMBS heeft tijdens de werkzaamheden toelating tot inname domein.","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 15' 47,316"" E","50° 49' 31,367"" N"
"10","Point","130","146","146","72188,190 m","168876,513 m","0","Kortrijk","146","30750041834","0"," ","Fietsenstalling f11","stationsplein","0","0","0","NVT","Stad/Gemeente"," ","Nee"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Asfalt"," "," ","Andere","type NMBS oud/type stad","0","0","Goede staat","714","55","0","0","0","0","0","0","0","0","769","769","0","0","-1","Stadsnet","0","Grond Stad, maar NMBS heeft tijdens de werkzaamheden toelating tot inname domein.","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 15' 47,190"" E","50° 49' 32,358"" N"
"11","Point","131","147","147","72257,315 m","168813,172 m","0","Kortrijk","147","30750041834","0"," ","Fietsenstalling f2","voorkant naast frituur","1","1","1","stalen afsluiting / traliewerk","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","0","0","Goede staat","168","0","0","0","0","0","0","0","0","0","168","168","0","0","1","Eigen net","-1","ook bromfietsen gestald in de fietsenstalling.","1"," ","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 50,769"" E","50° 49' 30,342"" N"
"12","Point","132","147","147","72266,860 m","168831,972 m","0","Kortrijk","147","30750041834","0"," ","Fietsenstalling f2","voorkant naast frituur","1","1","1","stalen afsluiting / traliewerk","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","0","0","Goede staat","168","0","0","0","0","0","0","0","0","0","168","168","0","0","1","Eigen net","-1","ook bromfietsen gestald in de fietsenstalling.","1"," ","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 51,242"" E","50° 49' 30,954"" N"
"13","Point","133","148","148","72270,620 m","168810,858 m","0","Kortrijk","148","30750041834","0"," ","Fietsenstalling f3","perron 1: personeel","0","0","0","NVT","NMBS"," ","Nee"," "," ","Overdekt (luifel)"," ","Volle platen"," ","32","Betonstraatstenen","betonstraatstenen/klinkers","99","Wielklemmen laag"," ","1","19","Goede staat","108","0","0","0","19","0","0","0","0","0","127","108","19","0","1","Eigen net","-1"," ","3"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 15' 51,451"" E","50° 49' 30,273"" N"
"14","Point","134","149","149","72029,403 m","168718,883 m","0","Kortrijk","149","30750041834","0"," ","Fietsenstalling f5","helling (Tacklaan naar ODG1)","0","0","0","NVT","NMBS"," ","Nee"," "," ","Overdekt (luifel)"," ","Stationsgebouw"," ","0","Betonstraatstenen"," "," ","type NMBS"," ","1","12","Goede staat","248","14","0","0","12","0","0","0","0","0","274","262","12","0","1","Eigen net","0","Ook Blue bikes (=46 stuks).","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 39,198"" E","50° 49' 27,181"" N"
"15","Point","135","150","150","72231,526 m","168738,511 m","0","Kortrijk","150","30750041834","0"," ","Fietsenstalling f6","Fietsenstallingen Tacklaan","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Andere","klinkers/beton"," ","Andere","NMBS/type stad","0","0","Goede staat","350","30","0","0","4","0","0","0","0","0","384","380","4","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 49,508"" E","50° 49' 27,913"" N"
"16","Point","136","150","150","72142,944 m","168729,727 m","0","Kortrijk","150","30750041834","0"," ","Fietsenstalling f6","Fietsenstallingen Tacklaan","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Andere","klinkers/beton"," ","Andere","NMBS/type stad","0","0","Goede staat","350","30","0","0","4","0","0","0","0","0","384","380","4","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 44,990"" E","50° 49' 27,586"" N"
"17","Point","137","150","150","72180,091 m","168735,336 m","0","Kortrijk","150","30750041834","0"," ","Fietsenstalling f6","Fietsenstallingen Tacklaan","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Andere","klinkers/beton"," ","Andere","NMBS/type stad","0","0","Goede staat","350","30","0","0","4","0","0","0","0","0","384","380","4","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 46,883"" E","50° 49' 27,786"" N"
"18","Point","138","150","150","72146,330 m","168727,822 m","0","Kortrijk","150","30750041834","0"," ","Fietsenstalling f6","Fietsenstallingen Tacklaan","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Andere","klinkers/beton"," ","Andere","NMBS/type stad","0","0","Goede staat","350","30","0","0","4","0","0","0","0","0","384","380","4","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 45,164"" E","50° 49' 27,526"" N"
"19","Point","139","150","150","72171,929 m","168728,549 m","0","Kortrijk","150","30750041834","0"," ","Fietsenstalling f6","Fietsenstallingen Tacklaan","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Andere","klinkers/beton"," ","Andere","NMBS/type stad","0","0","Goede staat","350","30","0","0","4","0","0","0","0","0","384","380","4","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 46,471"" E","50° 49' 27,562"" N"
"20","Point","140","150","150","72200,940 m","168736,394 m","0","Kortrijk","150","30750041834","0"," ","Fietsenstalling f6","Fietsenstallingen Tacklaan","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Andere","klinkers/beton"," ","Andere","NMBS/type stad","0","0","Goede staat","350","30","0","0","4","0","0","0","0","0","384","380","4","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 47,948"" E","50° 49' 27,830"" N"
"21","Point","141","150","150","72193,651 m","168730,798 m","0","Kortrijk","150","30750041834","0"," ","Fietsenstalling f6","Fietsenstallingen Tacklaan","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Andere","klinkers/beton"," ","Andere","NMBS/type stad","0","0","Goede staat","350","30","0","0","4","0","0","0","0","0","384","380","4","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 47,579"" E","50° 49' 27,645"" N"
"22","Point","142","151","151","72095,832 m","168702,132 m","0","Kortrijk","151","30750041834","0"," ","Fietsenstalling f8","Stalling in Fietspunt Tacklaan","0","0","1","draadafsluiting","Stad/Gemeente"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Aarde"," "," ","Wielklemmen laag"," ","0","0","Goede staat","100","12","0","0","0","0","0","0","0","0","112","112","0","-1","1","Stadsnet","0"," ","0"," ","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 15' 42,604"" E","50° 49' 26,671"" N"
"23","Point","143","152","152","72160,602 m","168737,946 m","0","Kortrijk","152","30750041834","0"," ","Fietsenstalling f9","Perron 8","0","0","0","NVT","NMBS"," ","Nee"," "," ","Overdekt (luifel)"," ","Perron luifel"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","0","0","Goede staat","180","0","0","0","0","0","0","0","0","0","180","180","0","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"," ","3° 15' 45,886"" E","50° 49' 27,861"" N"
"24","Point","222","238","238","134271,219 m","206830,373 m","0","St-Niklaas","238","30590023514","0"," ","Fietsenstalling f1","Voor stationsgebouw","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)","gedeeltelijk","Doorzichtige platen"," ","0","Klinkers","beton en natuursteen"," ","Type NMBS"," ","0","0","Goede staat","458","626","0","0","24","0","0","0","0","0","1108","1084","24","-1","1","Stadsnet","-1","beveiligde fietsenstalling 192 plaatsen, na sluiting contact met technische dienst OCMW, bezetting 60-70% \n1euro per dag \nZe stockeren zelf de fietsen (300pl) in de Heistraat \nweesfietsacties: 5 weken ipv 3","6"," ","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"," ","4° 8' 33,365"" E","51° 10' 18,492"" N"
"25","Point","223","239","239","134318,501 m","206963,706 m","0","St-Niklaas","239","30590023514","0"," ","Fietsenstalling f2","Noordlaan","0","0","0","NVT","Stad/Gemeente"," ","Nee"," "," ","Openlucht"," "," "," ","0","Betonstraatstenen"," "," ","type NMBS"," ","0","0","Goede staat","0","352","0","0","0","0","0","0","0","0","352","352","0","0","-1","Stadsnet","-1"," ","3"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","4° 8' 35,778"" E","51° 10' 22,811"" N"
"26","Point","224","240","240","134248,651 m","206926,452 m","0","St-Niklaas","240","30590023514","0"," ","Fietsenstalling f3","Noordlaan","0","0","0","NVT","Stad/Gemeente"," ","Nee"," "," ","Openlucht"," "," "," ","0","Andere","Betonstraatstenen en groenzone"," ","type NMBS"," ","0","0","Goede staat","0","168","0","0","0","0","0","0","0","0","168","168","0","-1","-1","Stadsnet","1"," ","2"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","4° 8' 32,189"" E","51° 10' 21,599"" N"
"27","Point","225","241","241","134290,561 m","206843,902 m","0","St-Niklaas","241","30590023514","0"," ","Fietsenstalling f4","Voor stationsgebouw","1","1","1","hekwerk gegalvaniseerd staal","NMBS"," ","Nee"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Klinkers","beton"," ","type NMBS"," ","0","1","Goede staat","192","0","6","0","5","0","0","0","0","0","203","198","5","-1","1"," ","0"," ","0"," ","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0"," ","4° 8' 34,359"" E","51° 10' 18,932"" N"
"28","Point","299","853","853","153892,607 m","214947,215 m","0","Antwerpen-luchtbal","853","20120049001","0"," ","Fietsenstalling F3","F3 - Klipperstraat","0","0","0"," ","NMBS"," "," "," "," ","Openlucht"," ","Geen"," ","0","Klinkers"," "," ","Type NMBS"," ","0","0","Te controleren","0","18","0","0","0","0","0","0","0","0","18","18","0","0","0"," ","0","Bezetting < 90 %","0"," ","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"," ","4° 25' 23,624"" E","51° 14' 41,855"" N"
"29","Point","300","342","342","154096,084 m","216864,888 m","0","Antwerpen-noorderdokken","342","20120052007","20120052002","zie ook 'andere gebouwen'","Fietsenstalling F1","F1 - aan onderdoorgang","0","0","-1","Hek","NMBS"," "," ","NMBS"," ","Overdekt (luifel)"," ","Onderdoorgang"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","0","0","Goede staat","30","0","0","0","0","0","0","0","0","0","30","30","0","0","1","Eigen net","0"," ","0","Ja en eenvoudig","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"," ","4° 25' 34,192"" E","51° 15' 43,900"" N"
"30","Point","343","368","368","229272,588 m","184683,396 m","0","Genk","368","20214002010","0"," ","Fietsenstalling F1","F1 - Europalaan","0","0","0"," ","NMBS"," ","Ja","Stad"," ","Openlucht"," ","Standaardtype 1 (boog)","Deels overkapping","0","Andere","Stoepdallen"," ","Type NMBS"," ","0","0","Goede staat","0","120","0","0","0","0","0","0","0","0","120","120","0","0","1","Stadsnet","0","Bezetting < 90 % \nVZW basis beschikt zelf over 20 gewone fietsen , 4 elektrische - 5 tandems en 1 bakfiets \n12 blue bike fietsen","0","Ja en eenvoudig","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","5° 29' 45,614"" E","50° 58' 3,114"" N"
"31","Point","344","885","885","229256,978 m","184677,258 m","0","Genk","885","20214002010","0"," ","Fietsenstalling F2","F2 - Europalaan","0","0","0","Hek","NMBS"," ","Ja","Stad/Gemeente"," ","Overdekt (luifel)"," ","Standaardtype 1 (boog)"," ","0","Klinkers"," "," ","Type NMBS"," ","0","0","Goede staat","166","0","0","0","0","0","0","0","0","0","166","166","0","0","1","Stadsnet","0","Bezetting < 90 %","0","Ja en eenvoudig","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","5° 29' 44,809"" E","50° 58' 2,923"" N"
"32","Point","355","953","953","158012,168 m","189738,277 m","0","Mechelen","953","20250020524","0"," ","Fietsenstalling f6","F6 - Blue Bike voor het station","1","1","1","Gebouw","NMBS"," "," ","NMBS"," ","Overdekt"," ","Luifel aan gebouw"," ","0"," "," "," ","Type NMBS"," ","1","41"," ","58","0","0","0","0","0","0","0","0","0","58","58","0","0","0"," ","0","Bezetting > 90 % en < 100 %","0","Ja en eenvoudig","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 53,999"" E","51° 1' 5,984"" N"
"33","Point","356","950","950","157962,728 m","189665,732 m","0","Mechelen","950","20250020524","0"," ","Fietsenstalling f3","F3 - naast stationsgebouw kant brug","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Open lucht"," ","Luifel aan gebouw"," ","0"," "," "," ","Type NMBS"," ","1","41","Goede staat","120","476","0","0","0","8","0","0","0","0","604","596","8","0","1","NMBS","0","Bezetting > 100 %","0","Moeilijk","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 51,457"" E","51° 1' 3,639"" N"
"34","Point","357","398","398","158120,561 m","189616,632 m","0","Mechelen","398","20250020524","0"," ","Fietsenstalling f1","F1 -  parking (kant CW)","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Overdekt"," ","Eigen overkapping"," ","0"," "," "," ","Type NMBS"," ","1","41","Goede staat","434","0","0","0","10","0","0","0","0","0","444","434","10","1","1","NMBS","0","Bezetting > 90 % en < 100 %","0","Ja en eenvoudig","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 59,550"" E","51° 1' 2,042"" N"
"35","Point","358","951","951","158024,945 m","189743,950 m","0","Mechelen","951","20250020524","0"," ","Fietsenstalling f2","F2 - bewaakte stalling in stationsgebouw","1","1","1","Gebouw","NMBS"," "," ","NMBS"," ","Lokaal in gebouw"," ","Andere","In gebouw","0"," "," "," ","Wielklemmen laag"," ","1","41","Goede staat","118","0","0","0","11","0","0","0","0","0","129","118","11","0","1","NMBS","0","Bezetting < 90 %","0","Moeilijk","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 54,655"" E","51° 1' 6,167"" N"
"36","Point","359","954","954","158070,982 m","189804,539 m","0","Mechelen","954","20250020524","0"," ","Fietsenstalling f7","F7 - thv busstation","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Open lucht"," ","Eigen overkapping"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","1","41"," ","136","492","0","0","0","0","0","0","0","0","628","628","0","-1","-1"," ","0","Bezetting > 100 %","0","Moeilijk","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 57,021"" E","51° 1' 8,125"" N"
"37","Point","360","954","954","158099,822 m","189840,258 m","0","Mechelen","954","20250020524","0"," ","Fietsenstalling f7","F7 - thv busstation","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Open lucht"," ","Eigen overkapping"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","1","41"," ","136","492","0","0","0","0","0","0","0","0","628","628","0","-1","-1"," ","0","Bezetting > 100 %","0","Moeilijk","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 58,504"" E","51° 1' 9,280"" N"
"38","Point","361","952","952","157906,146 m","189603,191 m","0","Mechelen","952","20250020524","0"," ","Fietsenstalling f5","F5 - onder de Postzegelbrug","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Overdekt"," ","Onder viaduct"," ","0"," "," "," ","Type NMBS"," ","1","41","Goede staat","1140","0","0","0","12","0","0","0","0","0","1152","1140","12","0","1","NMBS","0","Bezetting < 90 %","0","Ja en eenvoudig","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 48,549"" E","51° 1' 1,618"" N"
"39","Point","362","952","952","157888,684 m","189618,008 m","0","Mechelen","952","20250020524","0"," ","Fietsenstalling f5","F5 - onder de Postzegelbrug","0","0","1","Gebouw","NMBS"," "," ","NMBS"," ","Overdekt"," ","Onder viaduct"," ","0"," "," "," ","Type NMBS"," ","1","41","Goede staat","1140","0","0","0","12","0","0","0","0","0","1152","1140","12","0","1","NMBS","0","Bezetting < 90 %","0","Ja en eenvoudig","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 28' 47,654"" E","51° 1' 2,098"" N"
"40","Point","381","339","339","154413,000 m","209910,094 m","0","Antwerpen-berchem","339","20250041748","20250041744"," ","Fietsenstalling F1","F1 - fietsgebouw Posthoflei-88","0","0","1","Gebouw","NMBS"," "," ","Fietspunt","Levanto","Fietsgebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","0","0","Goede staat","2043","0","0","0","0","0","0","0","0","0","2043","2043","0","1","1","NMBS","0","Bezetting > 90 % en < 100 % \n01/2019: 88 plaatsen voor Blue Bike","0","Moeilijk","0","0","0","4","4","0","0","0","0","1","1","0","0","0","-1","-1","1","4° 25' 50,231"" E","51° 11' 58,855"" N"
"41","Point","384","848","848","154487,945 m","210058,348 m","0","Antwerpen-berchem","848","20250041748","0"," ","Fietsenstalling F2","F2 - Edgar Ryckaertsplein","0","0","0"," ","Stad/Gemeente"," ","Ja","Fietspunt"," ","Openlucht"," "," "," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","0","0"," ","0","1204","0","0","0","0","0","0","0","0","1204","1204","0","-1","1","Stadsnet","0","Bezetting > 100 %","0","Ja en gemiddeld","0","0","0","4","0","0","0","0","0","1","1","0","0","0","0","0","1","4° 25' 54,098"" E","51° 12' 3,650"" N"
"42","Point","393","426","426","189654,323 m","223714,550 m","0","Turnhout","426","20290043912","0"," ","Fietsenstalling f1","F1 - op perron 1","0","0","0"," ","NMBS"," "," ","NMBS"," ","Open lucht"," "," "," ","0","Klinkers"," "," ","Type NMBS"," ","0","0","Goede staat","0","172","0","0","0","0","0","0","0","0","172","172","0","0","1","NMBS - Verlichting via het perron","0"," ","0","Moeilijk","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 10,648"" E","51° 19' 20,668"" N"
"43","Point","394","994","994","189711,763 m","223808,685 m","0","Turnhout","994","20290043912","0"," ","Fietsenstalling f3","F3 - Stationsstraat, voor goederenloods","0","0","0"," ","Stad/Gemeente"," "," ","Stad"," ","Open lucht"," "," "," ","0"," "," "," ","Wielklemmen laag"," ","0","0","Te controleren","0","50","0","0","0","0","0","0","0","0","50","50","0","0","1","Stadsnet","0","Bezetting < 90 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 13,651"" E","51° 19' 23,699"" N"
"44","Point","395","994","994","189645,342 m","223748,741 m","0","Turnhout","994","20290043912","0"," ","Fietsenstalling f3","F3 - Stationsstraat, voor goederenloods","0","0","0"," ","Stad/Gemeente"," "," ","Stad"," ","Open lucht"," "," "," ","0"," "," "," ","Wielklemmen laag"," ","0","0","Te controleren","0","50","0","0","0","0","0","0","0","0","50","50","0","0","1","Stadsnet","0","Bezetting < 90 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 10,198"" E","51° 19' 21,776"" N"
"45","Point","396","995","995","189660,709 m","223798,017 m","0","Turnhout","995","20290043912","20290043911"," ","Fietsenstalling f2","F2 - naast perron 2","0","0","0"," ","NMBS"," "," ","NMBS"," ","Openlucht"," ","Standaardtype 2"," ","0","Klinkers"," "," ","Type NMBS"," ","0","0","Goede staat","460","0","0","0","18","0","0","0","0","0","478","460","18","0","1","NMBS - Verlichting via het perron","0","Bezetting < 90 %","0","Ja en eenvoudig","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"," ","4° 56' 11,011"" E","51° 19' 23,367"" N"
"46","Point","482","343","343","151477,179 m","209728,992 m","0","Antwerpen-zuid","343","20590004003","0"," ","Fietsenstalling f1","F1 - Singel","0","0","0"," ","Stad/Gemeente"," ","Nee","Stad/Gemeente"," ","Openlucht"," ","Geen"," ","0","Betonstraatstenen"," "," ","Type NMBS"," ","0","0","Tussenkomst nodig","0","168","0","0","0","0","0","0","0","0","168","168","0","0","1","Stadsnet","0","Bezetting > 90 % en < 100 %","0","Ja en eenvoudig","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","0"," ","4° 23' 19,027"" E","51° 11' 53,048"" N"
