tblalgemenegegevens.Naam,ID fietsenstalling,MCS_Code,MCS_Code fiets,MCS_Code fiets opmerking,tblintermodaliteitfietsenstalling.Naam,Positie,Betalend?,Toegangscontrole?,Afgesloten fietsenstalling,Type van afsluiting,Eigenaar terrein,Eigenaar derde,Kleine wegenis,Exploitant,Exploitant derde,Infrastructuur Type,spec andere type,Infrastructuur Type overkapping,spec andere overkapping,Infrastructuur opp overkapping,Infrastructuur Type verharding,spec andere verharding,Infrastructuur Opp verharding,Infrastructuur Type fietsrek,spec andere fietsrek,Bevestigingsbaar voor motos,Aantal plaatsen aan bevestigingsbaar voor motos,Infrastructuur Toestand,Plaatsen fietsen overdekt,Plaatsen fietsen openlucht,Plaatsen bakfiets overdekt,Plaatsen bakfiets openlucht,Plaatsen bromfiets overdekt,Plaatsen bromfiets openlucht,Plaatsen elektrische fiets overdekt,Plaatsen elektrische fiets openlucht,Plaatsen elektrische moto overdekt,Plaatsen elektrische moto openlucht,Plaatsen totaal,Plaatsen totaal fiets,Plaatsen totaal moto,Camerabewaking,voldoende verlichting,beheerder verlichting,weesfietsen,opmerking,schatting aantal,Mogelijkheid tot uitbreiding van de parking,Op terrein NMBS,Op terrein derden,Is er nood tot uitbreiding fietstenstallingen,Bekleding_vloer,Beperkte toegankelijkheid,Type van beperking,Aantal Ingangen,Aantal Uitgangen,Energiemeters aanwezig?,Milieu gevaarlijke installaties aanwezig?,Branddetectie aanwezig?,Lokaal van het waarschuwingsbord,Andere technische installaties,Aankondigingspaal parking aanwezig,Aankondigingspaal parking voorzien van verlichting,Aankondigingspaal parking voorzien aankonding vrij/volzet,Parkeerreglement aanwezig,Bord met tarificatie aanwezig,Signaletica op straat,Signaletica op de parking,Signaletica naar stationsgebouw of perron,Toestand uitrustingen,Type gevel,Oppervlakte beglazing,Type verlichting
Mortsel-oude god ,965,20250038104,,,,F3 - fietsenstalling onder luifel voor stationsgebouw,,,0,,NMBS,,,NMBS,,Overdekt,,Luifel aan gebouw,,,,,,Type NMBS,,0,0,Goede staat,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Gemengde verlichting,,Bezetting > 100 %,,Moeilijk,,,,,,,,,,,,,,1,1,,0,,1,,,,,,
Neerwinden ,966,20360058006,,,Fietsenstalling f2,F2 - Spikboomstraat,0,0,,,NMBS,,,NMBS,,Open lucht,,,,,,,,Type NMBS,,0,0,Goede staat,0,12,0,0,0,0,0,0,0,0,12,12,0,,1,Stadsnet,,Bezetting > 90 % en < 100 %,,Ja en eenvoudig,,,,,,,,,,,,,,,,,,,,,,,,,
Nijlen ,967,20150022318,,,Fietsenstalling f3,"F3 - Claeslaan, bij bushalte",0,0,0,,Derde,De Lijn,,,,Open lucht,,,,,Betonstraatstenen,,,Wielklemmen laag,,0,0,Te controleren,0,26,0,0,0,0,0,0,0,0,26,26,0,,1,Stadsnet,,,,Moeilijk,,,,,,,,,,,,,,1,1,,0,,,,,,,,
Nijlen ,968,20150022318,,,Fietsenstalling f2,"F2 - Statiestraat, bushalte",0,0,0,,Derde,De Lijn,,,,Openlucht,,,,,Betonstraatstenen,,,Wielklemmen laag,,0,0,Goede staat,0,12,0,0,0,0,0,0,0,0,12,12,0,,1,Stadsnet,,Bezetting < 90 %,,Ja en eenvoudig,,,,,,,,,,,,,,1,1,,0,,,,,,,,
Nijlen ,969,20150022318,20150022315,,Fietsenstalling f4,F4 - voorbij parking A1,0,0,0,,NMBS,,Nee,NMBS,,Overdekt,,Doorzichtige platen,,18,Klinkers,,,Type NMBS,,0,0,Te controleren,12,12,0,0,0,0,0,0,0,0,24,24,0,,1,Stadsnet,,bouwjaar 2009,,Ja en eenvoudig,,,,,,,,,,,,,,1,1,,0,,,,,,,,
Nijlen ,970,20150022318,,,Fietsenstalling f5,"F5 - uitbreiding 2010, bij F1",0,0,0,,NMBS,,,NMBS,,Openlucht,,,,,Betonstraatstenen,,,Type NMBS,,0,0,Te controleren,0,96,0,0,0,0,0,0,0,0,96,96,0,,1,Stadsnet,,,,,,,,,,,,,,,,,,1,1,,0,,,,,,,,
Nijlen ,971,20150022318,,,Fietsenstalling f6,F6 - aan perron 2,,,0,,NMBS,,Nee,NMBS,,Open lucht,,,,,Steenslag,,,Type NMBS,,0,0,Tussenkomst nodig,0,118,0,0,0,0,0,0,0,0,118,118,0,,1,NMBS - Verlichting via het perron,,Onkruid te verwijderen (05/2018),,Moeilijk,,,,,,,,,,,,,,1,1,,0,,,,,,,,
Noorderkempen ,972,20004067003,,,Fietsenstalling f2,F2 - Fietsenstalling overkant,0,,0,Andere,NMBS,,Ja,NMBS,,Overdekt,,Luifel aan gebouw,,,Asfalt,,,Type NMBS,,1,6,Goede staat,126,0,0,0,6,0,0,0,0,0,132,126,6,1,1,NMBS - Verlichting via het perron,,Bezetting < 90 %,,Ja en eenvoudig,,,,,,,1,1,,,,,,1,1,,0,,0,,,,,,
Nossegem ,973,20360012008,,,Fietsenstalling f2,"F2 - bij parking C1, kant Perronstraat",0,0,,,NMBS,,Ja,NMBS,,Overdekt,,Eigen overkapping,,,Klinkers,,,Type NMBS,,0,,Goede staat,24,0,0,0,12,0,0,0,0,0,36,24,12,,1,Stadsnet,,Bezetting > 90 % en < 100 %,,Ja en eenvoudig,,,,,,,,,,,,,,,,,,,,,,,,,
Olen ,974,20150040010,20150040009,,Fietsenstalling f2,"F2 - rechts van stationsgebouw, Stationsplein",0,0,,,NMBS,,,NMBS,,Overdekt,,Standaardtype 1 (boog),,,Klinkers,,,Type NMBS,,0,,Goede staat,92,0,0,0,0,0,0,0,0,0,92,92,0,,1,NMBS,,Bezetting > 90 % en < 100 %,,Ja en eenvoudig,,,,,,,,,,,,,,,,,,,,,,,,,
