id,address_id,parking_type_name,latitude,longitude,box_number,status,created_at,updated_at,is_all_access,wow_id,name,legacy_address,installation_date,capacity_classic,capacity_cargo,limit_sub_number,code,active,mobib,is_group
172,,Box,50.86854,4.34161,,,2019-02-05T11:01:52Z,,false,,Escaut,"Rue de l'Escaut x boulevard du Jubilé, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK10,true,false,false
173,,Box,50.8584,4.31861,,,2019-02-05T11:01:52Z,,false,,Karreveld,"Avenue du Karreveld 11, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK08,true,false,false
174,,Box,50.85657,4.33564,,,2019-02-05T11:01:53Z,,false,,Voltaire,"Place Voltaire, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK07,true,false,false
175,,Box,50.85655,4.3426,,,2019-02-05T11:01:53Z,,false,,Houilleurs,"Rue des Houilleurs 15 A, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK06,true,false,false
176,,Box,50.84976,4.32981,,,2019-02-05T11:01:53Z,,false,,Duchesse,"Place de la Duchesse, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK05,true,false,false
177,,Box,50.86467,4.3369,,,2019-02-05T11:01:53Z,,false,,Haeck,"Rue de Flessingue x Rue Haeck, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK03,true,false,false
178,,Box,50.85176,4.33347,,,2019-02-05T11:01:53Z,,false,,Verrept Dekeyser,"Rue Verrept-Dekeyser x Rue de l'Eléphant, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK02,true,false,false
179,,Box,50.86348,4.33742,,,2019-02-05T11:01:53Z,,false,,Jubilé,"Boulevard du Jubilé 52, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK01,true,false,false
180,,Box,50.87227,4.34815,,,2019-02-05T11:01:53Z,,false,,Drootbeek,"Rue Drootbeek x Rue de Moorslede, 1020 Laeken",1970-01-01T00:00:00Z,5,0,,LA39,true,false,false
181,,Box,50.88283,4.351674,,,2019-02-05T11:01:53Z,,false,,Médori,"Rue Médori x Rue des Horticulteurs, 1020 Laeken",2017-12-22T00:00:00Z,5,0,,LA38,true,false,false
182,,Box,50.88442,4.3408,,,2019-02-05T11:01:54Z,,false,,Heymans,"Bd de Smet de Naeyer x Rue Jean Heymans, 1000 Laeken",2018-03-13T00:00:00Z,5,0,,LA34,true,false,false
183,,Box,50.88011,4.34819,,,2019-02-05T11:01:54Z,,false,,Artistes,"Rue des Artistes (angle Bockstael), 1020 Laeken",1970-01-01T00:00:00Z,5,0,,LA32,true,false,false
184,,Box,50.87677,4.34711,,,2019-02-05T11:01:54Z,,false,,Bockstael II,"Place Bockstael (droit int)/Rue Tielemans, 1020 Laeken",1970-01-01T00:00:00Z,5,0,,LA31,true,false,false
